model,epochs,best epoch,elapsed time,format time,train_drive_AUC,train_drive_Accuracy,train_drive_F1,test_drive_AUC,test_drive_Accuracy,test_drive_F1
model_0,181,80,587,0h 9m 47s,0.943173829,0.865234795,0.836081881,0.930525685,0.852197309,0.817537644
model_1,181,80,554,0h 9m 14s,0.943173844,0.865234795,0.836081881,0.930525685,0.852197309,0.817537644
model_3,181,80,264,0h 4m 24s,0.943173832,0.865234795,0.836081881,0.930525685,0.852197309,0.817537644
model_5,181,80,325,0h 5m 25s,0.943173825,0.865234795,0.836081881,0.930525685,0.852197309,0.817537644
model_7,181,80,707,0h 11m 47s,0.943172586,0.865363922,0.836213216,0.930518181,0.851838565,0.817256637
model_8,181,80,658,0h 10m 58s,0.943172586,0.865363922,0.836213216,0.930518181,0.851838565,0.817256637
model_9,181,80,708,0h 11m 48s,0.943172586,0.865363922,0.836213216,0.930518181,0.851838565,0.817256637
model_10,181,80,1324,0h 22m 4s,0.943172586,0.865363922,0.836213216,0.930518181,0.851838565,0.817256637
model_11,217,116,544,0h 9m 4s,0.942535693,0.863955947,0.835542348,0.932523554,0.857850217,0.831334149
model_12,217,116,531,0h 8m 51s,0.942525189,0.863955947,0.835542348,0.932533196,0.857024964,0.830354957
model_13,261,160,607,0h 10m 7s,0.944201282,0.866660111,0.839848825,0.933011981,0.857850217,0.833050642
model_14,261,160,652,0h 10m 52s,0.944201282,0.866660111,0.839848825,0.933011981,0.857850217,0.833050642
model_17,264,163,378,0h 6m 18s,0.951245749,0.879111035,0.833431292,0.941096154,0.871354446,0.826034358
model_18,261,160,371,0h 6m 11s,0.944201272,0.866660111,0.839848825,0.933011981,0.857850217,0.833050642
model_19,261,160,375,0h 6m 15s,0.944201272,0.866660111,0.839848825,0.933011981,0.857850217,0.833050642
model_20,265,164,396,0h 6m 36s,0.939570008,0.860764855,0.825589328,0.928680977,0.852285751,0.819427148
model_25,261,160,386,0h 6m 26s,0.9442012721624605,0.866660111116574,0.8398488248494154,0.9330119810239094,0.8578502166288425,0.8330506421129148
