layers,bidirect,L2,drop,rdrop,lr,hidden_size/n_filters,format time,train AUC,train Accuracy,train F1,test AUC,test Accuracy,test F1,model
3,False,1e-07,0.0,0.0,1e-05,256,0h 12m 31s,0.943,0.865,0.836,0.931,0.852,0.817,GRU
3,False,1e-05,0.0,0.0,1e-05,256,0h 22m 17s,0.945,0.868,0.839,0.931,0.851,0.815,GRU
3,False,1e-07,0.0,0.0,1e-05,512,0h 50m 32s,0.943,0.866,0.837,0.930,0.853,0.818,GRU
3,False,1e-07,0.0,0.0,1e-05,128,0h 7m 21s,0.944,0.867,0.837,0.930,0.852,0.817,GRU
3,False,1e-05,0.0,0.0,1e-05,128,0h 10m 38s,0.945,0.869,0.839,0.930,0.852,0.817,GRU
5,False,1e-07,0.0,0.0,1e-05,512,1h 45m 53s,0.943,0.866,0.837,0.930,0.851,0.816,GRU
5,False,1e-07,0.0,0.0,1e-05,256,0h 51m 32s,0.944,0.868,0.839,0.930,0.851,0.816,GRU
5,False,1e-07,0.0,0.0,1e-05,128,0h 49m 5s,0.944,0.869,0.841,0.930,0.851,0.816,GRU
5,False,1e-05,0.0,0.0,1e-05,128,0h 52m 13s,0.946,0.871,0.843,0.930,0.850,0.815,GRU
3,False,1e-05,0.0,0.0,1e-05,512,1h 1m 10s,0.947,0.872,0.844,0.929,0.851,0.817,GRU
5,False,1e-05,0.0,0.0,1e-05,512,2h 25m 32s,0.949,0.875,0.847,0.929,0.850,0.815,GRU
5,False,1e-05,0.0,0.0,1e-05,256,0h 58m 41s,0.947,0.873,0.845,0.929,0.849,0.814,GRU
5,False,1e-03,0.0,0.0,1e-05,128,3h 38m 14s,0.950,0.876,0.848,0.927,0.850,0.815,GRU
3,False,1e-03,0.0,0.0,1e-05,128,0h 48m 47s,0.949,0.875,0.848,0.927,0.849,0.814,GRU
5,False,1e-03,0.0,0.0,1e-05,256,3h 50m 20s,0.949,0.875,0.846,0.927,0.848,0.811,GRU
3,False,1e-03,0.0,0.0,1e-05,256,1h 45m 3s,0.949,0.875,0.847,0.926,0.849,0.814,GRU
5,False,1e-03,0.0,0.0,1e-05,512,6h 42m 41s,0.949,0.875,0.847,0.926,0.848,0.812,GRU
3,False,1e-03,0.0,0.0,1e-05,512,3h 46m 29s,0.949,0.875,0.847,0.925,0.847,0.811,GRU
